Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/BundleResource.java:328:47:328:81""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/BundleResource.java:369:48:369:90""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/BundleResource.java:508:44:508:86""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/BundleResource.java:562:31:562:73""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/BundleResource.java:609:35:609:77""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/BundleResource.java:669:38:669:78""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/BundleResource.java:712:42:712:82""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/BundleResource.java:753:38:753:78""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/BundleResource.java:850:44:850:84""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/BundleResource.java:909:41:909:81""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/BundleResource.java:983:13:983:53""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/CMSConfigResource.java:78:42:78:76""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/CMSConfigResource.java:183:45:183:79""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/CMSConfigResource.java:250:47:250:81""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/CMSConfigResource.java:319:39:319:73""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/CMSConfigResource.java:379:41:379:75""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/CMSConfigResource.java:459:38:459:72""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/CMSConfigResource.java:535:37:535:77""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/ClusterResource.java:59:35:59:69""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/ClusterResource.java:116:45:116:79""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/ClusterResource.java:141:42:141:76""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/ClusterResource.java:160:39:160:73""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/ContentResource.java:156:28:156:62""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/ContentResource.java:240:33:240:67""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/ContentResource.java:287:32:287:66""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/ContentResource.java:314:33:314:67""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/ContentResource.java:385:36:385:70""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/ContentResource.java:474:35:474:69""]].
Sensitive method may not be executed depending on a [[""this condition""|""relative:///dotCMS/src/main/java/com/dotcms/rest/WebResource.java:423:12:423:21""]], which flows from [[""user-controlled value""|""relative:///dotCMS/src/main/java/com/dotcms/rest/ContentResource.java:556:32:556:66""]].
